name,ticker,exchangeCode,startDate,endDate,description
3M Company,MMM,NYSE,1970-01-02,2019-10-23,"3M Company (3M) is a diversified technology company. The Company operates in six segments: industrial and transportation; healthcare; consumer and office; safety, security and protection services; display and graphics, and electro and communications businesses. 3M products are sold through a number of distribution channels, including directly to users and through wholesalers, retailers, jobbers, distributors and dealers in a range of trades in a number of countries worldwide. In April 2012, it acquired CodeRyte Inc. In September 2012, it acquired the business of Federal Signal Technologies Group (FSTech) from Federal Signal Corporation. On November 28, 2012, the Company acquired Ceradyne, Inc."
American Express Company AMEX,AXP,NYSE,1972-06-01,2019-10-23,"American Express is a globally integrated payments company, providing customers with access to products, insights and experiences that enrich lives and build business success."
Apple Inc,AAPL,NASDAQ,1980-12-12,2019-10-23,"Apple Inc. (Apple) designs, manufactures and markets mobile communication and media devices, personal computers, and portable digital music players, and a variety of related software, services, peripherals, networking solutions, and third-party digital content and applications. The Company's products and services include iPhone, iPad, Mac, iPod, Apple TV, a portfolio of consumer and professional software applications, the iOS and OS X operating systems, iCloud, and a variety of accessory, service and support offerings. The Company also delivers digital content and applications through the iTunes Store, App StoreSM, iBookstoreSM, and Mac App Store. The Company distributes its products worldwide through its retail stores, online stores, and direct sales force, as well as through third-party cellular network carriers, wholesalers, retailers, and value-added resellers. In February 2012, the Company acquired app-search engine Chomp."
The Boeing Company,BA,NYSE,1962-01-02,2019-10-23,"Boeing Business Jets offers a portfolio of ultra-large-cabin, long-range airplanes that are perfectly suited for business and private, charter, corporate and head-of-state operations. The product line includes the BBJ MAX family and high-performance versions of Boeing's 787 Dreamliner, 777X, and 747-8. Since its launch in 1996, Boeing Business Jets has delivered 240 jets on 262 orders. Approximately 75 percent of widebody business jets sold in the last 22 years have been Boeing Business Jets and include the 787, 777 and 747."
Caterpillar Inc,CAT,NYSE,1962-01-02,2019-10-23,"For more than 90 years, Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent. Customers turn to Caterpillar to help them develop infrastructure, energy and natural resource assets. With 2018 sales and revenues of $54.722 billion, Caterpillar is the world's leading manufacturer of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. The company principally operates through its three primary segments - Construction Industries, Resource Industries and Energy & Transportation - and also provides financing and related services through its Financial Products segment."
Chevron Corp,CVX,NYSE,1970-01-02,2019-10-23,"Chevron Products Company is a division of an indirect, wholly owned subsidiary of the Chevron Corporation headquartered in San Ramon, CA. A full line of lubrication and coolant products are marketed through this organization. Select brands include Havoline , Delo  and Havoline Xpress Lube . Chevron Intellectual Property, LLC owns patented technology in advanced lubricants products, new generation base oil technology and coolants."
Cisco Systems Inc,CSCO,NASDAQ,1990-03-26,2019-10-23,"Cisco is the worldwide technology leader that has been making the Internet work since 1984. Our people, products, and partners help society securely connect and seize tomorrow's digital opportunity today. Discover more at newsroom.cisco.com and follow us on Twitter at @Cisco. Cisco and the Cisco logo are trademarks or registered trademarks of Cisco and/or its affiliates in the U.S. and other countries. A listing of Cisco's trademarks can be found at www.cisco.com/go/trademarks. Third-party trademarks mentioned are the property of their respective owners. The use of the word partner does not imply a partnership relationship between Cisco and any other company. Additional Information and Where to Find It Cisco Systems, Inc. (""Cisco"") plans to file a proxy statement and accompanying solicitation materials with the Securities and Exchange Commission (the ""SEC"") in connection with the solicitation of proxies for its 2019 Annual Meeting of Shareholders (the ""Annual Meeting""). The proxy statement will contain important information about Cisco, the Annual Meeting, and related matters. Shareholders are urged to read the proxy statement and the accompanying solicitation materials when they become available because these documents will contain important information. Cisco, its directors, and certain of its executive officers and other agents may be deemed to be participants in the solicitation of proxies from its shareholders in connection with the Annual Meeting. Information regarding the names of Cisco's directors, nominees, and executive officers and their respective interests in Cisco is set forth in Cisco's annual report on Form 10-K filed with the SEC on September 5, 2019 and will be set forth in the proxy statement and accompanying solicitation materials and in their respective Statements of Changes in Beneficial Ownership on Form 4 filed with the SEC after the date of the proxy statement."
The CocaCola Company,KO,NYSE,1962-01-02,2019-10-23,"The Coca-Cola Company is a total beverage company, offering over 500 brands in more than 200 countries and territories. In addition to the company's Coca-Cola brand, our portfolio includes AdeS, Ayataka, Costa, Dasani, Del Valle, Fanta, Georgia, Gold Peak, Honest, innocent, Minute Maid, Powerade, Simply, smartwater, Sprite, vitaminwater and ZICO. We're constantly transforming our portfolio, from reducing sugar in our drinks to bringing innovative new products to market. We're also working to reduce our environmental impact by replenishing water and promoting recycling. With our bottling partners, we employ more than 700,000 people, helping bring economic opportunity to local communities worldwide."
The Walt Disney Company,DIS,NYSE,1962-01-02,2019-10-23,"Disney Parks, Experiences and Products brings the magic of The Walt Disney Company's powerful brands and franchises-including Disney, Pixar, Marvel, Star Wars, ESPN, 20th Century Fox and National Geographic-into the daily lives of families and fans around the world to create magical memories that last a lifetime. When Walt Disney opened Disneyland in Anaheim, California on July 17, 1955, he created a unique destination built around storytelling and immersive experiences, ushering in a new era of family entertainment. More than sixty years later, Disney has grown into one of the world's leading providers of family travel and leisure experiences, with iconic businesses including six resort destinations with 12 theme parks and 52 resorts in the United States, Europe and Asia with approximately 160,000 cast members; a top-rated cruise line with four ships and plans for three more to be completed in 2021, 2022, and 2023; a luxurious family beach resort in Hawaii; a popular vacation ownership program; and an award-winning guided family adventure business. Disney's global consumer products operations include the world's leading licensing business; one of the world's largest children's print publisher; one of the world's largest licensors of games across platforms; more than 200 Disney store locations around the world; and the shopDisney e-commerce platform. These experiences are created by Disney Imagineers, the creative force behind experiences found in Disney theme parks, resort hotels, cruise ships and consumer products-including books, games and merchandise. About Lucasfilm Ltd. Lucasfilm Ltd., a wholly-owned subsidiary of The Walt Disney Company, is a global leader in film, television and digital entertainment production. In addition to its motion-picture and television production, the company's activities include visual effects and audio post-production, cutting-edge digital animation, interactive entertainment software, and the management of the global merchandising activities for its entertainment properties including the legendary STAR WARS and INDIANA JONES franchises. Lucasfilm Ltd. is headquartered in northern California. Lucasfilm, the Lucasfilm logo, STAR WARS and related properties are trademarks and/or copyrights, in the United States and other countries, of Lucasfilm Ltd. and/or its affiliates.  & TM Lucasfilm Ltd. All rights reserved."
Exxon Mobil Corp,XOM,NYSE,1970-01-02,2019-10-23,"Exxon Mobil Corporation (Exxon Mobil) is a manufacturer and marketer of commodity petrochemicals, including olefins, aromatics, polyethylene and polypropylene plastics and a range of specialty products. The Company has a number of divisions and affiliates with names that include ExxonMobil, Exxon, Esso or Mobil. Divisions and affiliated companies of ExxonMobil operate or market products in the United States and other countries of the world. Their principal business is energy, involving exploration for, and production of, crude oil and natural gas, manufacture of petroleum products and transportation and sale of crude oil, natural gas and petroleum products. In January 2012, Apache Corporation acquired Exxon Mobil's Mobil North Sea Limited assets including the Beryl field and related properties. In April 2013, BNK Petroleum (US) Inc. sold Tishomingo Field, Oklahoma assets other than the Caney and upper Sycamore formations to XTO Energy Inc., a subsidiary of Exxon Mobil Corporation."
